CustomerID;BikeBuyer
11000;
11001;1
11002;
11003;
11004;1
11005;1
11006;1
11007;1
11008;1
11009;
11010;
11011;1
11012;1
11013;
11014;
11015;
11016;
11019;1
11020;
11023;
11024;
11025;
11026;
11027;
11028;
11031;
11032;
11033;
11034;
11035;
11036;
11037;
15127;1
11040;
11041;
11042;
11043;
11044;
11045;
11046;
11047;
11049;1
11050;
11051;
11052;
11053;
11054;
11055;
11056;
11057;
11058;
11059;
11060;
11061;1
11062;
11063;
11064;
11065;1
11066;
11067;1
11070;
11071;
11072;
11073;
11074;
11075;
11076;
11077;
11078;1
11079;
11080;1
11081;
11082;1
11083;1
11085;
11086;
11088;
11089;1
11090;
11091;
11093;
11094;1
11095;
11096;1
11097;
11098;
11099;1
11100;
11101;1
11102;1
11103;
11104;
11105;
11106;1
11107;1
11109;1
11110;1
11111;1
11112;
11113;1
16475;
11115;1
11116;1
11117;1
11119;
11120;
11122;
11123;1
11124;1
11125;
11126;
11127;
11129;
11130;
11131;
11132;
11133;
11134;1
11135;
11136;
11137;
11138;
11139;
11140;
11141;
11142;1
11143;
11144;
11145;
11146;
11147;
11148;
11149;
11150;
11151;
11152;1
11153;
11154;
11155;1
11157;
11158;
11159;
11160;
11161;1
11163;
11164;1
11165;
11166;1
11169;1
11170;1
11171;1
11172;
11173;
11174;1
11175;1
11176;1
11177;1
11179;
11180;1
11181;
11182;
11183;1
11184;
11185;
11186;
11187;
11188;
11189;
11190;
11191;
11192;
11193;
11194;
11195;
11196;
11197;1
11198;
11199;
11200;1
11201;
11202;
11203;
11204;
11205;
11206;
11208;1
11209;1
11210;
11211;1
11212;
11213;
11214;
11216;
11217;1
11218;
11219;
11220;
11221;
11222;
11223;1
11224;
11225;
11226;
11227;1
11228;1
11229;
11230;
11231;
11232;1
11233;
11234;1
11235;
11236;1
11237;1
11238;1
11239;
11240;1
11241;1
11242;1
11243;
11244;1
11245;1
11246;
11248;1
11249;1
11250;
11251;
11252;
11253;
11254;
11256;
11257;
11259;
11260;1
11261;
11262;
11263;
11264;1
11265;1
11266;
11267;1
11268;
11269;1
11270;1
11271;1
11272;1
11273;
11274;
11275;
11276;1
11277;1
11279;
11279;
11280;1
11281;1
11282;1
11283;1
11285;1
11286;
11287;1
11289;1
11290;1
11291;
11292;1
11293;1
11294;
11295;1
11296;
11297;
11298;
11299;
11300;1
11301;1
11302;1
11303;1
11304;
11305;
11306;1
11307;
11308;
11309;
11310;1
11311;
11312;
11313;
11314;1
11315;1
11316;
11317;
11318;
11319;
11320;
11321;
11322;
11324;
11325;
11326;1
11328;
11329;
11330;
11333;
11334;
11335;
11336;1
11337;
11338;1
11339;
11340;
11341;
11342;1
11343;
11344;
11345;
11346;
11347;
11348;
11349;
11350;
11351;
11352;
11353;
11354;
11355;
11357;
11358;
11359;
11360;
11361;
11362;
11363;
11364;1
11365;1
11366;
11367;
11368;
11369;
11370;
11371;
11372;
11374;1
11375;
11376;
11378;
11379;
11380;
11381;
11382;
11383;
11384;
11385;
11386;
11387;1
11388;1
11389;
11390;
11391;1
11392;1
11393;
11396;
11398;
11399;
11400;
11401;
11402;
11403;1
11404;
11405;
11406;
11407;
11408;
11409;
11410;
11411;1
11412;1
11413;1
11414;1
11415;
11416;
11417;
11418;
11419;1
11420;
11421;
11422;1
11423;
11424;
11425;1
11426;1
11427;1
11428;1
11430;
11431;1
11432;
11433;
11434;1
11435;1
11436;1
11437;
11438;
11439;
11440;
11441;
11442;
11443;
11444;
11445;
11446;
11447;
11448;
